代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
6174,安碁,櫃,電子零組件業,0.81,10.6,34.8,9.79,7.1,-0.84,29.9,39,29.9,4,1.89,48.6,3.75,36.8,-0.94
6175,立敦,櫃,電子零組件業,1.24,61,31.9,13.1,12.8,2.54,13.6,-1.6,25.5,15,4.32,46,18.4,32.1,4.04
6179,亞通,櫃,其他業,0.98,40.5,30.4,-1.12,-0.11,2.06,38.2,49.8,68.8,11,1.44,42.1,5.24,9.16,-18
6180,橘子,櫃,文化創意業,0.59,109,30.3,21.8,24.2,-2.32,56.3,-22.2,40.3,8,9.69,25.4,27.2,18,4.77
6182,合晶,櫃,半導體業,1.32,180,28.2,8.11,5.38,0.18,,11.4,27,-1,0,46.6,9.23,5.58,-1.85
6185,幃翔,櫃,電子零組件業,0.78,24.8,37.4,2.32,2.04,-0.33,,32.2,14.5,22,1.81,33.9,2.09,23.6,2.06
6186,新潤,櫃,建材營造業,0.75,124,27.5,17.6,20.8,13.9,6.85,101,75.2,13,2.39,40.2,2,46.9,24.6
6187,萬潤,櫃,半導體業,1.54,364,29.3,18.6,20.6,6.17,22.3,20.6,37.2,12,2.72,54.3,13,20.3,14.9
6188,廣明,櫃,電腦及週邊設備業,1.38,341,26.6,10.3,9.42,2.33,42.8,17.3,34.2,23,2.86,46.1,6.55,33.5,13.1
6190,萬泰科,櫃,通信網路業,1.15,71.6,47.3,13.5,12.2,2.09,18.8,8.67,50.9,9,4.62,42.4,6.98,15.3,2.21
6194,育富,櫃,電子零組件業,0.91,16.1,42.6,6.25,7.93,0.33,10.7,5.27,22.6,25,6.25,30,4.21,26.9,1.16
6195,詩肯,櫃,居家生活,0.58,14.2,29.9,9.82,8.22,0.56,16,-0.8,64.3,15,5.31,22.2,45,6.42,4.72
6198,瑞築,櫃,建材營造業,0.63,51.1,26.9,1.16,-0.71,-0.04,,-93.6,23.3,-21,0,33.1,0.09,80.4,-6.54
6199,天品,櫃,其他業,0.65,63,32.5,1.88,2.8,-1.29,537,67.9,15.9,-5,0,57.5,4.98,41.2,2.07
6203,海韻電,櫃,電子零組件業,1,53.6,50,16.1,14.9,-2.83,43.7,42.7,29,24,5.38,41.3,2.89,10.3,8.12
6204,艾華,櫃,電子零組件業,1.12,15.2,55.6,48.1,48.9,1.15,52.2,4.16,32,24,0.46,47.5,1.33,30.1,0.24
6207,雷科,櫃,電子零組件業,1.41,48.6,37,8.72,8.62,-0.24,70.1,-6.31,56.3,23,2.46,52.2,4.03,16.3,8.63
